"id","ticker","price","change_amount","change_percentage","volume","category","date_fetched"
121,SMXWW,0.019,0.0129,"211.4754%",312427,top_gainers,2024-09-14 08:00:19.777
122,NOVVU,35.33,23.18,"190.7819%",17976,top_gainers,2024-09-14 08:00:19.869
123,NOVV,37.3,23.76,"175.4801%",205220,top_gainers,2024-09-14 08:00:19.900
124,HHGCW,0.0081,0.0051,"170.0%",1318,top_gainers,2024-09-14 08:00:19.931
125,SMX,5.95,3.5,"142.8571%",49583555,top_gainers,2024-09-14 08:00:19.960
126,FORLW,0.12,0.0699,"139.521%",87286,top_gainers,2024-09-14 08:00:19.990
127,OMIC,12.38,6.78,"121.0714%",2805543,top_gainers,2024-09-14 08:00:20.021
128,PLMIW,0.0999,0.0499,"99.8%",37481,top_gainers,2024-09-14 08:00:20.056
129,ALSAR,0.12,0.0567,"89.5735%",161579,top_gainers,2024-09-14 08:00:20.088
130,TIL,84.52,38.06,"81.9199%",3874138,top_gainers,2024-09-14 08:00:20.118
131,TNON,7.55,3.15,"71.5909%",24208511,top_gainers,2024-09-14 08:00:20.149
132,ONFOW,0.17,0.0689,"68.1503%",36342,top_gainers,2024-09-14 08:00:20.184
133,NOVVW,0.045,0.0181,"67.2862%",629372,top_gainers,2024-09-14 08:00:20.218
134,CLNNW,0.0498,0.0196,"64.9007%",275,top_gainers,2024-09-14 08:00:20.244
135,MRNOW,0.16,0.06,"60.0%",1067954,top_gainers,2024-09-14 08:00:20.272
136,ABLVW,0.0399,0.0144,"56.4706%",10,top_gainers,2024-09-14 08:00:20.304
137,CGBSW,0.02,0.0072,"56.25%",151083,top_gainers,2024-09-14 08:00:20.340
138,RELIW,0.06,0.0215,"55.8442%",1000,top_gainers,2024-09-14 08:00:20.376
139,APCXW,0.2,0.0698,"53.6098%",13014,top_gainers,2024-09-14 08:00:20.406
140,CEROW,0.01,0.0034,"51.5152%",7046,top_gainers,2024-09-14 08:00:20.437
141,GSIW,2.99,-9.21,-75.4918%,4165537,top_losers,2024-09-14 08:00:20.469
142,CCTSW,0.011,-0.024,-68.5714%,44541,top_losers,2024-09-14 08:00:20.495
143,UPC,0.544,-1.126,-67.4251%,30295669,top_losers,2024-09-14 08:00:20.529
144,COOTW,0.0105,-0.0179,-63.0282%,55000,top_losers,2024-09-14 08:00:20.558
145,SURGW,0.0064,-0.0095,-59.7484%,5459,top_losers,2024-09-14 08:00:20.586
146,LUCYW,0.0281,-0.0298,-51.468%,33636,top_losers,2024-09-14 08:00:20.620
147,HSPOW,0.0179,-0.0161,-47.3529%,352,top_losers,2024-09-14 08:00:20.652
148,VMAR,0.7797,-0.7003,-47.3176%,34716303,top_losers,2024-09-14 08:00:20.681
149,XBPEW,0.016,-0.013,-44.8276%,13163,top_losers,2024-09-14 08:00:20.737
150,CELUW,0.0111,-0.0088,-44.2211%,2241,top_losers,2024-09-14 08:00:20.766
151,GB+,0.056,-0.044,-44.0%,19423,top_losers,2024-09-14 08:00:20.803
152,BCGWW,0.0332,-0.0258,-43.7288%,3200,top_losers,2024-09-14 08:00:20.839
153,SLQT,2.03,-1.56,-43.454%,12813876,top_losers,2024-09-14 08:00:20.870
154,PRLD,2.77,-2.06,-42.6501%,2471404,top_losers,2024-09-14 08:00:20.896
155,NCPLW,0.0141,-0.0092,-39.485%,1500,top_losers,2024-09-14 08:00:20.930
156,KACLR,0.0901,-0.0567,-38.624%,555,top_losers,2024-09-14 08:00:20.963
157,ABVEW,0.015,-0.0092,-38.0165%,37045,top_losers,2024-09-14 08:00:21.002
158,KUKE,0.6019,-0.3581,-37.3021%,1352335,top_losers,2024-09-14 08:00:21.033
